gss.code,age.group,sex,relationship,year,hrr
E06000005,0_4,M,C,2011,0
E06000005,5_9,M,C,2011,0
E06000005,10_14,M,C,2011,0
E06000005,15_19,M,C,2011,0.646
E06000005,20_24,M,C,2011,0.88
E06000005,25_29,M,C,2011,0.89
E06000005,30_34,M,C,2011,0.983
E06000005,35_39,M,C,2011,0.995
E06000005,40_44,M,C,2011,1
E06000005,45_49,M,C,2011,1
E06000005,50_54,M,C,2011,1
E06000005,55_59,M,C,2011,1
E06000005,60_64,M,C,2011,1
E06000005,65_69,M,C,2011,1
E06000005,70_74,M,C,2011,1
E06000005,75_79,M,C,2011,1
E06000005,80_84,M,C,2011,1
E06000005,85&,M,C,2011,1
E06000005,TOT,M,C,2011,0.987
E06000005,0_4,M,P,2011,0
E06000005,5_9,M,P,2011,0
E06000005,10_14,M,P,2011,0
E06000005,15_19,M,P,2011,0.667
E06000005,20_24,M,P,2011,0.261
E06000005,25_29,M,P,2011,0.524
E06000005,30_34,M,P,2011,0.688
E06000005,35_39,M,P,2011,0.799
E06000005,40_44,M,P,2011,0.837
E06000005,45_49,M,P,2011,0.861
E06000005,50_54,M,P,2011,0.913
E06000005,55_59,M,P,2011,0.954
E06000005,60_64,M,P,2011,0.946
E06000005,65_69,M,P,2011,0.998
E06000005,70_74,M,P,2011,1
E06000005,75_79,M,P,2011,0.987
E06000005,80_84,M,P,2011,1
E06000005,85&,M,P,2011,0.991
E06000005,TOT,M,P,2011,0.915
E06000005,0_4,M,S,2011,0
E06000005,5_9,M,S,2011,0
E06000005,10_14,M,S,2011,0
E06000005,15_19,M,S,2011,0.017
E06000005,20_24,M,S,2011,0.099
E06000005,25_29,M,S,2011,0.377
E06000005,30_34,M,S,2011,0.631
E06000005,35_39,M,S,2011,0.627
E06000005,40_44,M,S,2011,0.677
E06000005,45_49,M,S,2011,0.744
E06000005,50_54,M,S,2011,0.708
E06000005,55_59,M,S,2011,0.811
E06000005,60_64,M,S,2011,0.819
E06000005,65_69,M,S,2011,0.867
E06000005,70_74,M,S,2011,0.875
