gss.code,age.group,sex,relationship,year,hh.popn
E06000005,0_4,M,C,2011,0
E06000005,5_9,M,C,2011,0
E06000005,10_14,M,C,2011,0
E06000005,15_19,M,C,2011,48
E06000005,20_24,M,C,2011,673
E06000005,25_29,M,C,2011,1514
E06000005,30_34,M,C,2011,2004
E06000005,35_39,M,C,2011,2179
E06000005,40_44,M,C,2011,2591
E06000005,45_49,M,C,2011,2782
E06000005,50_54,M,C,2011,2552
E06000005,55_59,M,C,2011,2364
E06000005,60_64,M,C,2011,2495
E06000005,65_69,M,C,2011,1963
E06000005,70_74,M,C,2011,1539
E06000005,75_79,M,C,2011,1105
E06000005,80_84,M,C,2011,636
E06000005,85&,M,C,2011,337
E06000005,TOT,M,C,2011,24782
E06000005,0_4,M,P,2011,0
E06000005,5_9,M,P,2011,0
E06000005,10_14,M,P,2011,0
E06000005,15_19,M,P,2011,6
E06000005,20_24,M,P,2011,23
E06000005,25_29,M,P,2011,82
E06000005,30_34,M,P,2011,154
E06000005,35_39,M,P,2011,284
E06000005,40_44,M,P,2011,471
E06000005,45_49,M,P,2011,647
E06000005,50_54,M,P,2011,574
E06000005,55_59,M,P,2011,526
E06000005,60_64,M,P,2011,556
E06000005,65_69,M,P,2011,449
E06000005,70_74,M,P,2011,411
E06000005,75_79,M,P,2011,377
E06000005,80_84,M,P,2011,311
E06000005,85&,M,P,2011,352
E06000005,TOT,M,P,2011,5224
E06000005,0_4,M,S,2011,3314
E06000005,5_9,M,S,2011,3226
E06000005,10_14,M,S,2011,3067
E06000005,15_19,M,S,2011,3239
E06000005,20_24,M,S,2011,2211
E06000005,25_29,M,S,2011,1550
E06000005,30_34,M,S,2011,999
E06000005,35_39,M,S,2011,742
E06000005,40_44,M,S,2011,654
E06000005,45_49,M,S,2011,551
E06000005,50_54,M,S,2011,390
E06000005,55_59,M,S,2011,265
E06000005,60_64,M,S,2011,210
E06000005,65_69,M,S,2011,196
E06000005,70_74,M,S,2011,120
E06000005,75_79,M,S,2011,83
E06000005,80_84,M,S,2011,55
