gss.code,age.group,sex,relationship,year,inst.popn
E06000005,0_4,M,C,2011,0
E06000005,5_9,M,C,2011,0
E06000005,10_14,M,C,2011,0
E06000005,15_19,M,C,2011,0
E06000005,20_24,M,C,2011,0
E06000005,25_29,M,C,2011,2
E06000005,30_34,M,C,2011,10
E06000005,35_39,M,C,2011,1
E06000005,40_44,M,C,2011,2
E06000005,45_49,M,C,2011,3
E06000005,50_54,M,C,2011,0
E06000005,55_59,M,C,2011,3
E06000005,60_64,M,C,2011,0
E06000005,65_69,M,C,2011,5
E06000005,70_74,M,C,2011,15
E06000005,75_79,M,C,2011,19
E06000005,80_84,M,C,2011,9
E06000005,85&,M,C,2011,32
E06000005,TOT,M,C,2011,99
E06000005,0_4,M,P,2011,0
E06000005,5_9,M,P,2011,0
E06000005,10_14,M,P,2011,0
E06000005,15_19,M,P,2011,0
E06000005,20_24,M,P,2011,0
E06000005,25_29,M,P,2011,2
E06000005,30_34,M,P,2011,3
E06000005,35_39,M,P,2011,0
E06000005,40_44,M,P,2011,4
E06000005,45_49,M,P,2011,8
E06000005,50_54,M,P,2011,4
E06000005,55_59,M,P,2011,3
E06000005,60_64,M,P,2011,4
E06000005,65_69,M,P,2011,2
E06000005,70_74,M,P,2011,8
E06000005,75_79,M,P,2011,9
E06000005,80_84,M,P,2011,31
E06000005,85&,M,P,2011,64
E06000005,TOT,M,P,2011,141
E06000005,0_4,M,S,2011,4
E06000005,5_9,M,S,2011,4
E06000005,10_14,M,S,2011,7
E06000005,15_19,M,S,2011,31
E06000005,20_24,M,S,2011,20
E06000005,25_29,M,S,2011,21
E06000005,30_34,M,S,2011,24
E06000005,35_39,M,S,2011,23
E06000005,40_44,M,S,2011,22
E06000005,45_49,M,S,2011,25
E06000005,50_54,M,S,2011,29
E06000005,55_59,M,S,2011,8
E06000005,60_64,M,S,2011,19
E06000005,65_69,M,S,2011,16
E06000005,70_74,M,S,2011,13
E06000005,75_79,M,S,2011,18
E06000005,80_84,M,S,2011,9
E06000005,85&,M,S,2011,18
