gss.code,sex,age,year,popn
E06000005,F,0,2011,637
E06000005,F,0,2012,660
E06000005,F,0,2013,645
E06000005,F,0,2014,567
E06000005,F,0,2015,591.9633486641
E06000005,F,0,2016,592.819009666
E06000005,F,0,2017,591.5195769235
E06000005,F,0,2018,591.5967469791
E06000005,F,0,2019,589.8236031685
E06000005,F,0,2020,586.937047112
E06000005,F,0,2021,583.3612888296
E06000005,F,0,2022,580.1315422492
E06000005,F,0,2023,575.020175785
E06000005,F,0,2024,572.3719197065
E06000005,F,0,2025,568.5199336679
E06000005,F,0,2026,566.2142059784
E06000005,F,0,2027,563.4914610423
E06000005,F,0,2028,560.627526639
E06000005,F,0,2029,558.6675426296
E06000005,F,0,2030,555.8496529607
E06000005,F,0,2031,553.5704826769
E06000005,F,0,2032,551.9912628443
E06000005,F,0,2033,550.0000023481
E06000005,F,0,2034,548.514581873
E06000005,F,0,2035,546.3006867867
E06000005,F,0,2036,545.6407264736
E06000005,F,0,2037,543.4679351258
E06000005,F,1,2011,661
E06000005,F,1,2012,629
E06000005,F,1,2013,661
E06000005,F,1,2014,650
E06000005,F,1,2015,568.925170068
E06000005,F,1,2016,593.9394291434
E06000005,F,1,2017,594.7793826043
E06000005,F,1,2018,593.4794224185
E06000005,F,1,2019,593.5574087756
E06000005,F,1,2020,591.7842159939
E06000005,F,1,2021,588.8987734023
E06000005,F,1,2022,585.3248270148
E06000005,F,1,2023,582.0973246708
E06000005,F,1,2024,576.9879848957
E06000005,F,1,2025,574.3429371937
E06000005,F,1,2026,570.4926120956
E06000005,F,1,2027,568.1893021926
E06000005,F,1,2028,565.468003605
E06000005,F,1,2029,562.6057780234
E06000005,F,1,2030,560.6475913299
E06000005,F,1,2031,557.8309312916
E06000005,F,1,2032,555.5535297112
E06000005,F,1,2033,553.9757399581
E06000005,F,1,2034,551.9854702246
E06000005,F,1,2035,550.5012995264
E06000005,F,1,2036,548.2883364154
E06000005,F,1,2037,547.6297657181
E06000005,F,2,2011,640
E06000005,F,2,2012,649
E06000005,F,2,2013,629
E06000005,F,2,2014,674
E06000005,F,2,2015,652.6666666667
E06000005,F,2,2016,571.5918367347
E06000005,F,2,2017,596.6060958101
E06000005,F,2,2018,597.446049271
E06000005,F,2,2019,596.1460890851
E06000005,F,2,2020,596.2240754423
E06000005,F,2,2021,594.4508826606
E06000005,F,2,2022,591.565440069
E06000005,F,2,2023,587.9914936815
E06000005,F,2,2024,584.7639913375
E06000005,F,2,2025,579.6546515623
E06000005,F,2,2026,577.0096038604
E06000005,F,2,2027,573.1592787623
E06000005,F,2,2028,570.8559688593
E06000005,F,2,2029,568.1346702717
E06000005,F,2,2030,565.2724446901
E06000005,F,2,2031,563.3142579966
E06000005,F,2,2032,560.4975979583
E06000005,F,2,2033,558.2201963779
E06000005,F,2,2034,556.6424066247
E06000005,F,2,2035,554.6521368913
E06000005,F,2,2036,553.1679661931
E06000005,F,2,2037,550.9550030821
E06000005,F,3,2011,690
E06000005,F,3,2012,630
E06000005,F,3,2013,639
E06000005,F,3,2014,626
E06000005,F,3,2015,669.0833333333
E06000005,F,3,2016,647.75
E06000005,F,3,2017,566.675170068
E06000005,F,3,2018,591.6894291434
E06000005,F,3,2019,592.5293826043
E06000005,F,3,2020,591.2294224185
E06000005,F,3,2021,591.3074087756
E06000005,F,3,2022,589.5342159939
