ONScode,AreaName,Age,Gender,Relationship,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
E06000005,Darlington,0_4,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,5_9,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,10_14,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,15_19,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,20_24,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,25_29,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,30_34,M,C,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
E06000005,Darlington,35_39,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000005,Darlington,40_44,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,45_49,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E06000005,Darlington,50_54,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,55_59,M,C,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E06000005,Darlington,60_64,M,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,65_69,M,C,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E06000005,Darlington,70_74,M,C,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,8,10,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
E06000005,Darlington,75_79,M,C,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,10,12,14,17,19,20,20,21,21,21,22,22,22,23,24,27,28,29,29,29,27,27,26,26,26,27,27,27,28,29,29
E06000005,Darlington,80_84,M,C,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,6,7,8,9,9,9,9,10,11,11,11,12,12,12,13,13,13,14,15,16,17,18,18,18,17,17,17,17,17,17
E06000005,Darlington,85&,M,C,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,11,15,18,21,26,32,33,34,36,37,39,41,43,46,50,52,55,59,63,66,68,71,74,79,84,88,96,101,107,110,113,115
E06000005,Darlington,TOT,M,C,0,0,0,0,0,0,0,0,0,0,0,8,16,25,33,42,52,63,74,86,99,101,103,106,108,111,113,116,120,125,129,134,139,145,148,151,154,158,163,167,172,179,185,191,194,198,202
E06000005,Darlington,0_4,M,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,5_9,M,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,10_14,M,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,15_19,M,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,20_24,M,P,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,25_29,M,P,2,4,5,6,7,8,9,9,8,7,6,5,5,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,30_34,M,P,5,6,8,9,10,11,12,12,13,13,13,12,11,9,8,7,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E06000005,Darlington,35_39,M,P,8,7,7,6,6,5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,40_44,M,P,7,7,7,7,8,8,8,9,9,10,10,10,9,9,8,8,7,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,45_49,M,P,7,8,9,10,10,11,11,11,11,12,12,12,11,11,11,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,50_54,M,P,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,55_59,M,P,7,8,9,10,11,11,12,13,14,16,17,17,17,16,15,13,11,9,7,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E06000005,Darlington,60_64,M,P,16,14,13,12,11,10,9,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,65_69,M,P,24,22,20,18,16,15,14,12,11,10,9,8,8,7,7,6,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,70_74,M,P,43,43,42,41,37,34,31,29,26,24,23,21,19,18,17,15,14,12,11,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,75_79,M,P,58,52,47,43,43,44,43,43,41,37,33,31,28,26,22,20,17,15,13,11,9,9,9,10,10,10,10,10,11,11,12,13,14,14,14,14,14,14,13,13,14,14,14,14,14,15,16
E06000005,Darlington,80_84,M,P,73,73,75,70,69,62,56,52,49,51,50,51,51,49,47,46,43,41,39,35,31,30,31,32,34,35,35,37,38,39,39,40,40,41,43,45,49,52,54,54,54,51,50,49,49,49,50
E06000005,Darlington,85&,M,P,113,114,108,103,103,100,107,101,93,91,85,78,75,73,71,69,73,70,67,66,64,66,67,69,71,73,75,77,82,87,91,94,99,106,110,114,118,123,129,136,143,154,162,171,176,179,183
E06000005,Darlington,TOT,M,P,369,363,354,339,335,323,320,306,288,281,267,253,243,230,217,206,198,185,170,156,141,142,145,148,152,154,157,162,168,174,178,184,190,198,205,210,218,226,234,241,247,256,264,271,276,281,285
E06000005,Darlington,0_4,M,S,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,5_9,M,S,19,17,15,13,12,10,8,6,4,2,0,0,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,10_14,M,S,44,41,38,34,30,25,21,17,13,8,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
E06000005,Darlington,15_19,M,S,33,31,29,27,26,27,25,26,26,26,26,26,28,28,29,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
E06000005,Darlington,20_24,M,S,30,34,37,38,38,38,36,37,36,39,41,39,37,35,34,32,30,29,26,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
E06000005,Darlington,25_29,M,S,34,36,36,39,42,44,47,49,46,43,41,38,35,33,32,31,30,28,26,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
E06000005,Darlington,30_34,M,S,28,29,29,29,30,30,29,28,27,25,24,24,24,23,23,23,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
E06000005,Darlington,35_39,M,S,26,26,26,27,28,30,31,32,31,31,32,32,31,31,31,30,29,29,27,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
E06000005,Darlington,40_44,M,S,28,28,29,29,30,31,31,32,34,35,36,36,35,34,34,33,32,29,27,25,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
E06000005,Darlington,45_49,M,S,27,29,31,32,32,32,30,30,29,29,29,28,28,28,28,28,28,28,27,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
E06000005,Darlington,50_54,M,S,27,26,25,25,24,24,25,25,25,24,23,23,23,23,23,24,24,25,26,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28
E06000005,Darlington,55_59,M,S,28,27,27,26,25,25,24,23,22,22,22,22,22,21,19,17,15,13,11,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,60_64,M,S,29,28,27,26,26,25,25,25,24,24,24,23,22,21,21,21,22,22,22,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
E06000005,Darlington,65_69,M,S,26,25,25,24,23,23,22,22,21,22,21,21,20,19,19,18,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
E06000005,Darlington,70_74,M,S,24,24,24,23,22,20,18,17,16,15,14,14,13,13,14,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
E06000005,Darlington,75_79,M,S,24,22,20,19,20,22,22,23,23,23,22,21,21,20,19,19,18,18,18,18,18,18,18,19,19,19,20,20,21,22,24,26,28,30,31,33,33,34,34,36,38,39,41,44,47,51,54
E06000005,Darlington,80_84,M,S,12,13,14,13,14,13,12,11,11,11,11,12,12,12,11,12,11,11,11,10,9,9,9,10,10,10,10,11,11,11,11,12,12,13,14,14,16,17,19,19,20,20,21,21,22,23,24
E06000005,Darlington,85&,M,S,9,10,9,9,10,10,12,12,12,13,13,12,13,13,13,13,15,16,16,17,18,19,20,21,21,22,23,24,25,27,28,29,30,32,33,34,36,38,40,43,45,49,53,56,59,61,63
E06000005,Darlington,TOT,M,S,448,446,441,435,431,427,419,415,399,391,383,377,371,364,359,355,350,343,334,324,313,313,315,316,317,319,320,322,324,327,330,334,338,342,345,348,352,356,360,364,369,375,381,388,394,401,408
E06000005,Darlington,0_4,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,5_9,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
