gss-code,year,dwellings
E06000001,2011,42100
E06000001,2012,42330
E06000001,2013,42440
E06000001,2014,42530
E06000001,2015,42900
E06000002,2011,59960
E06000002,2012,60080
E06000002,2013,60370
E06000002,2014,60540
E06000002,2015,61220
E06000003,2011,61900
E06000003,2012,62190
E06000003,2013,62260
E06000003,2014,62490
E06000003,2015,62970
E06000004,2011,82240
E06000004,2012,82710
E06000004,2013,83320
E06000004,2014,83680
E06000004,2015,84120
E06000005,2011,48640
E06000005,2012,48850
E06000005,2013,49010
E06000005,2014,49280
E06000005,2015,49780
E06000006,2011,54690
E06000006,2012,55010
E06000006,2013,55430
E06000006,2014,55900
E06000006,2015,56430
E06000007,2011,87940
E06000007,2012,88540
E06000007,2013,89190
E06000007,2014,89880
E06000007,2015,90570
E06000008,2011,59620
E06000008,2012,59650
E06000008,2013,59850
E06000008,2014,60070
E06000008,2015,60290
E06000009,2011,68980
E06000009,2012,69260
E06000009,2013,69400
E06000009,2014,69340
E06000009,2015,69440
E06000010,2011,116500
E06000010,2012,116870
E06000010,2013,117110
E06000010,2014,117350
E06000010,2015,118150
E06000011,2011,149850
E06000011,2012,151660
E06000011,2013,153640
E06000011,2014,155090
E06000011,2015,155800
E06000012,2011,72520
E06000012,2012,72810
E06000012,2013,73210
E06000012,2014,73530
E06000012,2015,73890
E06000013,2011,73630
E06000013,2012,74050
E06000013,2013,74380
E06000013,2014,74730
E06000013,2015,75070
E06000014,2011,86480
E06000014,2012,86770
E06000014,2013,86860
E06000014,2014,86930
E06000014,2015,87210
E06000015,2011,106510
E06000015,2012,106770
E06000015,2013,107140
E06000015,2014,107590
E06000015,2015,108020
E06000016,2011,126700
E06000016,2012,127600
E06000016,2013,128750
E06000016,2014,129870
E06000016,2015,131030
E06000017,2011,16070
E06000017,2012,16130
E06000017,2013,16230
E06000017,2014,16400
E06000017,2015,16630
E06000018,2011,131190
E06000018,2012,131620
E06000018,2013,132420
E06000018,2014,132880
E06000018,2015,133900
E06000019,2011,82550
E06000019,2012,82860
E06000019,2013,83060
E06000019,2014,83420
E06000019,2015,83920
E06000020,2011,68710
E06000020,2012,69430
E06000020,2013,70040
E06000020,2014,70880
E06000020,2015,71960
E06000021,2011,111870
E06000021,2012,112150
E06000021,2013,112430
E06000021,2014,112920
E06000021,2015,113430
E06000022,2011,75930
E06000022,2012,76390
E06000022,2013,76940
E06000022,2014,77490
E06000022,2015,78120
E06000023,2011,188440
E06000023,2012,190180
E06000023,2013,191060
E06000023,2014,192350
E06000023,2015,193800
E06000024,2011,91690
E06000024,2012,92210
E06000024,2013,92740
E06000024,2014,93500
E06000024,2015,94170
E06000025,2011,109980
E06000025,2012,110910
E06000025,2013,111730
E06000025,2014,112830
E06000025,2015,114050
E06000026,2011,113070
E06000026,2012,113540
E06000026,2013,114110
E06000026,2014,114860
E06000026,2015,115560
E06000027,2011,63970
E06000027,2012,64220
E06000027,2013,64470
E06000027,2014,64880
E06000027,2015,65170
E06000028,2011,85380
E06000028,2012,85940
E06000028,2013,86580
E06000028,2014,86970
E06000028,2015,87930
E06000029,2011,66500
E06000029,2012,66690
E06000029,2013,66900
E06000029,2014,67070
E06000029,2015,67370
E06000030,2011,91130
E06000030,2012,92020
E06000030,2013,92620
E06000030,2014,93210
E06000030,2015,93900
E06000031,2011,76760
E06000031,2012,77500
E06000031,2013,78270
E06000031,2014,79140
E06000031,2015,80480
E06000032,2011,76010
E06000032,2012,76370
E06000032,2013,76730
E06000032,2014,76910
E06000032,2015,77100
E06000033,2011,78600
E06000033,2012,78930
E06000033,2013,79190
E06000033,2014,79300
E06000033,2015,79480
E06000034,2011,63870
E06000034,2012,64210
E06000034,2013,64520
E06000034,2014,64850
E06000034,2015,65160
E06000035,2011,110110
E06000035,2012,110920
E06000035,2013,111560
E06000035,2014,112140
E06000035,2015,112620
E06000036,2011,46940
E06000036,2012,47200
E06000036,2013,47600
E06000036,2014,47910
E06000036,2015,48290
E06000037,2011,64600
E06000037,2012,64770
E06000037,2013,65320
E06000037,2014,65760
E06000037,2015,66260
E06000038,2011,65550
E06000038,2012,65860
E06000038,2013,66300
E06000038,2014,66660
E06000038,2015,67300
E06000039,2011,51780
E06000039,2012,52030
E06000039,2013,52210
E06000039,2014,52610
E06000039,2015,53080
E06000040,2011,60900
E06000040,2012,61080
E06000040,2013,61270
E06000040,2014,61630
E06000040,2015,62150
E06000041,2011,62470
E06000041,2012,62750
E06000041,2013,63150
E06000041,2014,63640
E06000041,2015,64100
E06000042,2011,102010
E06000042,2012,103590
E06000042,2013,104890
E06000042,2014,106130
E06000042,2015,107550
E06000043,2011,124420
E06000043,2012,124730
E06000043,2013,125100
E06000043,2014,125540
E06000043,2015,126120
E06000044,2011,88090
E06000044,2012,88370
E06000044,2013,88720
E06000044,2014,88950
E06000044,2015,89370
E06000045,2011,100600
E06000045,2012,101260
E06000045,2013,101710
E06000045,2014,102200
E06000045,2015,103610
E06000046,2011,67510
E06000046,2012,68030
E06000046,2013,68450
E06000046,2014,68760
E06000046,2015,69270
E06000047,2011,233490
E06000047,2012,234760
E06000047,2013,235900
E06000047,2014,236680
E06000047,2015,237750
E06000048,2011,148010
E06000048,2012,148570
E06000048,2013,149190
E06000048,2014,149750
E06000048,2015,151190
E06000049,2011,166240
E06000049,2012,166880
E06000049,2013,167530
E06000049,2014,168360
E06000049,2015,169600
E06000050,2011,147570
E06000050,2012,148370
E06000050,2013,149040
E06000050,2014,150010
E06000050,2015,151590
E06000051,2011,135570
E06000051,2012,136300
E06000051,2013,137150
E06000051,2014,137970
E06000051,2015,139120
E06000052,2011,258880
E06000052,2012,261260
E06000052,2013,263540
E06000052,2014,265570
E06000052,2015,268270
E06000053,2011,1390
E06000053,2012,1400
E06000053,2013,1400
E06000053,2014,1400
E06000053,2015,1400
E06000054,2011,201990
E06000054,2012,203740
E06000054,2013,205440
E06000054,2014,207660
E06000054,2015,209790
E06000055,2011,67330
E06000055,2012,68250
E06000055,2013,68910
E06000055,2014,69900
E06000055,2015,70730
E06000056,2011,108690
E06000056,2012,109990
E06000056,2013,110960
E06000056,2014,112220
E06000056,2015,113740
E07000004,2011,71880
E07000004,2012,72990
E07000004,2013,73920
E07000004,2014,74910
E07000004,2015,76330
E07000005,2011,38290
E07000005,2012,38460
E07000005,2013,38770
E07000005,2014,38930
E07000005,2015,39050
E07000006,2011,27710
E07000006,2012,27840
E07000006,2013,28060
E07000006,2014,28210
E07000006,2015,28350
E07000007,2011,70090
E07000007,2012,70600
E07000007,2013,70820
E07000007,2014,71090
E07000007,2015,71520
E07000008,2011,48290
E07000008,2012,48620
E07000008,2013,49100
E07000008,2014,50400
E07000008,2015,51120
E07000009,2011,35750
E07000009,2012,36120
E07000009,2013,36410
E07000009,2014,36600
E07000009,2015,36760
E07000010,2011,42090
E07000010,2012,42300
E07000010,2013,42620
E07000010,2014,42950
E07000010,2015,43560
E07000011,2011,71400
E07000011,2012,72270
E07000011,2013,72690
E07000011,2014,73370
E07000011,2015,73890
E07000012,2011,61720
E07000012,2012,62420
E07000012,2013,63010
E07000012,2014,63640
E07000012,2015,64510
E07000026,2011,45430
E07000026,2012,45610
E07000026,2013,45810
E07000026,2014,46010
E07000026,2015,46310
E07000027,2011,33020
E07000027,2012,32950
E07000027,2013,32990
E07000027,2014,33060
E07000027,2015,33150
E07000028,2011,50230
E07000028,2012,50660
E07000028,2013,50880
E07000028,2014,51070
E07000028,2015,51480
E07000029,2011,32430
E07000029,2012,32470
E07000029,2013,32630
E07000029,2014,32770
E07000029,2015,32900
E07000030,2011,25310
E07000030,2012,25410
E07000030,2013,25590
E07000030,2014,25740
E07000030,2015,25870
E07000031,2011,53420
E07000031,2012,53620
E07000031,2013,53870
E07000031,2014,54140
E07000031,2015,54510
E07000032,2011,54930
E07000032,2012,55130
E07000032,2013,55340
E07000032,2014,55610
E07000032,2015,55880
E07000033,2011,34360
E07000033,2012,34490
E07000033,2013,34610
E07000033,2014,34740
E07000033,2015,35000
E07000034,2011,48490
E07000034,2012,48540
E07000034,2013,48700
E07000034,2014,48850
E07000034,2015,49040
E07000035,2011,33480
E07000035,2012,33610
E07000035,2013,33830
E07000035,2014,33940
E07000035,2015,34060
E07000036,2011,50530
E07000036,2012,50740
E07000036,2013,50900
E07000036,2014,51130
E07000036,2015,51350
E07000037,2011,40770
E07000037,2012,40870
E07000037,2013,41080
E07000037,2014,41120
E07000037,2015,41250
E07000038,2011,44050
E07000038,2012,44170
E07000038,2013,44320
E07000038,2014,44390
E07000038,2015,44650
E07000039,2011,40380
E07000039,2012,40760
E07000039,2013,41030
E07000039,2014,41420
E07000039,2015,41840
E07000040,2011,63880
E07000040,2012,64210
E07000040,2013,64680
E07000040,2014,65530
E07000040,2015,66620
E07000041,2011,50720
E07000041,2012,51310
E07000041,2013,51560
E07000041,2014,52110
E07000041,2015,52830
E07000042,2011,33970
E07000042,2012,34210
E07000042,2013,34540
E07000042,2014,34870
E07000042,2015,35210
E07000043,2011,44420
E07000043,2012,44600
E07000043,2013,44910
E07000043,2014,45330
E07000043,2015,45680
E07000044,2011,43240
E07000044,2012,43540
E07000044,2013,43740
E07000044,2014,43930
E07000044,2015,44110
E07000045,2011,57720
E07000045,2012,58060
E07000045,2013,58550
